20200104;30666369;3
20200104;30666369;30
20200104;76336219;7
20200104;15475643;13
20200104;77966173;20
20200105;30666369;1
20200105;49794731;12
20200105;92542992;16
20200105;76336219;3
20200105;15475643;22
20200106;15475643;1
20200109;92542992;20
20200110;30666369;5
20200110;30666369;1
20200110;30666369;1
20200110;49794731;1
20200110;76336219;5
20200110;76336219;6
20200111;30666369;1
20200111;49794731;1
20200111;76336219;1
20200114;30666369;2
20200114;30666369;2
20200114;76336219;2
20200116;77966173;1
20200118;30666369;2
20200118;49794731;1
20200118;76336219;23
20200125;77966173;2
20200129;30666369;5
20200129;49794731;8
20200129;76336219;41
20200130;30666369;1
20200130;49794731;9
20200130;76336219;15
